Profession,Openness,Conscientousness,Extraversion,Agreeableness,Emotional_Range,Conversation,Openness to Change,Hedonism,Self-enhancement,Self-transcendence
1,0.69969988,0.198126692,0.141457226,0.00867389,0.489554624,0.012792672,0.329574273,0.15507768,0.516999826,0.149270566
1,0.949679796,0.713878644,0.051809067,0.067976833,0.758516997,0.042327955,0.116623979,0.03424406,0.107868938,0.090685554
1,0.631582211,0.142571514,0.047334025,0.011350594,0.465007157,0.054383639,0.327494669,0.186837591,0.264038518,0.347180887
1,0.549238626,0.113528816,0.151064917,0.015991742,0.503577053,0.024225635,0.448808411,0.207924406,0.478846472,0.161245784
1,0.806098664,0.037259421,0.04520386,0.001266803,0.48944271,0.001912622,0.372068028,0.207861849,0.261926986,0.144614877
1,0.924202465,0.41363428,0.047504186,0.007367469,0.751719488,0.003796812,0.182860919,0.038655756,0.089283742,0.080540796
1,0.677684591,0.111623269,0.123907014,0.035830052,0.530922555,0.012110155,0.347075418,0.155712439,0.3285376,0.188963785
1,0.911284671,0.239651967,0.039719352,0.011176006,0.752482214,0.005704702,0.219201931,0.096745254,0.110604175,0.153012126
1,0.798226387,0.21877386,0.14165632,0.010035599,0.697361487,0.012282021,0.16179237,0.116527328,0.280325969,0.121205571
1,0.946144589,0.241371456,0.080812691,0.005011842,0.620934599,0.00100304,0.418010967,0.049677706,0.141333804,0.114598016
1,0.800406445,0.015198889,0.063427769,0.000610853,0.231782993,0.0010031,0.580434067,0.273507581,0.475191612,0.199563192
1,0.82668493,0.10568931,0.119775552,0.00561619,0.445213308,0.012188093,0.534434021,0.137976884,0.330135854,0.173647232
1,0.793159909,0.15821865,0.432732145,0.120226404,0.612402087,0.004678429,0.421656086,0.307388786,0.354537146,0.223598827
1,0.879910514,0.370264643,0.180290612,0.035645919,0.700150513,0.006805041,0.308425577,0.087113658,0.136256549,0.180836881
1,0.800568418,0.179926084,0.143114506,0.131810773,0.501316082,0.033829929,0.507856018,0.183637058,0.485657038,0.19087427
1,0.954563647,0.04065217,0.163824171,0.002123799,0.30344737,0.000523978,0.674332009,0.109823968,0.326167767,0.280960147
1,0.981131441,0.05694974,0.175243515,0.010398069,0.461560245,0.0000781,0.502243786,0.108650189,0.148073426,0.119695432
1,0.951175037,0.119473966,0.201375407,0.025900047,0.453657618,0.002176567,0.561737817,0.161041951,0.325501561,0.1642204
1,0.80266155,0.363165925,0.146879136,0.054468448,0.611767605,0.084701431,0.469587916,0.15203311,0.386758362,0.186703145
1,0.80266155,0.363165925,0.146879136,0.054468448,0.611767605,0.084701431,0.469587916,0.15203311,0.386758362,0.186703145
1,0.842168701,0.057688472,0.031653116,0.000845847,0.475400923,0.010541354,0.611784808,0.293886106,0.663139564,0.178614063
1,0.926321507,0.471222267,0.266889705,0.014051926,0.878150414,0.001825146,0.186449514,0.040662629,0.043184377,0.10970306
1,0.70522075,0.071136402,0.086010055,0.004086495,0.388784376,0.013633851,0.433316013,0.168624777,0.223285005,0.278529675
1,0.950647192,0.194529859,0.211362392,0.018688832,0.708639218,0.001313243,0.45095223,0.099747672,0.135499692,0.199845874
1,0.932920878,0.172525554,0.223741367,0.071093625,0.358553362,0.004307869,0.783385588,0.101280842,0.433299336,0.439741049
1,0.850528188,0.047673144,0.193622403,0.012133534,0.391955748,0.001458457,0.656283508,0.306897029,0.739062798,0.243118999
1,0.835051338,0.174264899,0.133398461,0.014647609,0.569545948,0.022154405,0.295708263,0.15364596,0.421830547,0.221661556
1,0.957108934,0.12490523,0.027105815,0.001647228,0.431731704,0.002127163,0.581406334,0.158001786,0.225440048,0.179708806
1,0.803148048,0.150054975,0.126917831,0.027759589,0.451586717,0.015444777,0.586140624,0.317577597,0.573990429,0.328317954
1,0.97236356,0.609849235,0.30900308,0.220225639,0.860004363,0.008340797,0.334747678,0.037468151,0.055302076,0.138670185
1,0.924973949,0.064921603,0.06188495,0.001186887,0.520841928,0.000631109,0.454173793,0.104693907,0.271170384,0.099281242
1,0.961102722,0.500328068,0.258085654,0.018107536,0.84258457,0.014042217,0.249773477,0.080013094,0.149342523,0.084770806
1,0.939935182,0.235587239,0.264216573,0.068914568,0.43670458,0.006949197,0.587057943,0.193061667,0.378059263,0.290875466
1,0.870240146,0.354863724,0.088860477,0.036289728,0.620341974,0.017659029,0.524464258,0.209243495,0.460808884,0.186294953
1,0.605956713,0.155142909,0.261080857,0.181633973,0.357832976,0.087042843,0.499853274,0.223958806,0.412984217,0.351098434
1,0.95098615,0.265548088,0.267706913,0.002293932,0.596847356,0.000354975,0.613760937,0.164063807,0.530652811,0.147356445
1,0.824098661,0.265026995,0.045961347,0.02958467,0.551904165,0.027778512,0.519015216,0.18285922,0.458425918,0.163063027
1,0.995896913,0.539012562,0.701632664,0.002922741,0.343525235,0.00384805,0.705262319,0.284292424,0.779897652,0.144368706
1,0.831229836,0.042960357,0.052844498,0.101001463,0.14860572,0.011185408,0.547661491,0.376990867,0.506254639,0.313391381
1,0.592649891,0.16425762,0.240139822,0.031808437,0.355803794,0.027621316,0.532666843,0.461452126,0.611267102,0.413586726
1,0.887409713,0.268343931,0.197378669,0.022177215,0.578822497,0.012360283,0.581021691,0.046759775,0.152514917,0.461745226
1,0.610223543,0.710415868,0.475585397,0.183858973,0.895217878,0.135631084,0.310950693,0.161477755,0.227751229,0.155512207
1,0.696378476,0.251353534,0.031080633,0.005794477,0.453911203,0.127478337,0.176504213,0.093737992,0.157476721,0.49312063
1,0.744316101,0.672243776,0.131017221,0.122910062,0.749292523,0.082153503,0.289151694,0.057921794,0.165338292,0.120400698
1,0.8244038,0.110341185,0.095281052,0.222822037,0.341469098,0.01978895,0.590537244,0.204871262,0.243350461,0.460798627
1,0.942442074,0.197423119,0.620641241,0.08994982,0.594640097,0.001190729,0.464422411,0.116335032,0.242324588,0.177291021
1,0.819125708,0.030504328,0.023874747,0.001128686,0.500414284,0.001438181,0.413687553,0.174249691,0.295622084,0.146261689
1,0.852099486,0.093628226,0.031607297,0.000611208,0.606174158,0.010239616,0.411500038,0.213054997,0.285306649,0.17757695
1,0.91140363,0.274672891,0.120521917,0.032176933,0.500716874,0.01623173,0.37363801,0.151103975,0.222737135,0.202613846
1,0.92608449,0.75022903,0.753662922,0.247873256,0.891429206,0.091827484,0.260590543,0.049745391,0.214644873,0.098644036
1,0.555881543,0.035315838,0.022244525,0.001617515,0.346697434,0.045631625,0.222338771,0.187335355,0.427135595,0.155125819
1,0.928009955,0.242524905,0.156588302,0.003228441,0.502484068,0.016878963,0.673708854,0.115206646,0.534888662,0.23587817
1,0.848406416,0.384337566,0.22747757,0.105501055,0.673483996,0.024803216,0.330456092,0.0822163,0.186834859,0.132507161
1,0.87239182,0.076008354,0.019830674,0.001346279,0.448430626,0.004388129,0.440141049,0.145674772,0.378304229,0.185189525
1,0.966876829,0.223498397,0.282625536,0.004617164,0.426592089,0.002777737,0.787221957,0.15099152,0.39345026,0.322112744
1,0.858085931,0.399925572,0.269953428,0.006125219,0.759354718,0.003111849,0.254316717,0.05269584,0.494512447,0.108945682
1,0.932456904,0.108959626,0.059680583,0.018530189,0.37305165,0.003742135,0.637244505,0.162364388,0.524811085,0.237411088
1,0.938020905,0.068221573,0.040663438,0.001940673,0.527018462,0.000262304,0.307201934,0.082370488,0.048514954,0.071193412
1,0.872675318,0.019343534,0.026860144,0.0179942,0.335766445,0.005176834,0.446379421,0.23494424,0.403181854,0.310771473
